timestamp,open,high,low,close,volume
2021-10-20,1.16304,1.16586,1.1617,1.16505,61774
2021-10-21,1.16478,1.16675,1.16192,1.1623999999999999,65189
2021-10-22,1.16197,1.16554,1.16194,1.16437,65172
2021-10-25,1.1638,1.1665,1.15907,1.1608100000000001,59725
2021-10-26,1.16076,1.16257,1.1585,1.15957,54975
2021-10-27,1.15955,1.16257,1.15848,1.16026,66553
2021-10-28,1.16023,1.1692,1.15824,1.16801,82814
2021-10-29,1.16781,1.16901,1.15353,1.1562000000000001,82169
2021-11-01,1.15626,1.1609,1.1546,1.16041,51339
2021-11-02,1.16028,1.16132,1.15747,1.1578,56326
2021-11-03,1.1577,1.16161,1.15621,1.16131,69529
2021-11-04,1.1611,1.16162,1.15284,1.15539,65259
2021-11-05,1.15537,1.1573,1.15134,1.15665,68123
2021-11-08,1.15597,1.1595,1.15503,1.1586400000000001,54555
2021-11-09,1.1584,1.16086,1.15697,1.15929,67294
2021-11-10,1.1590799999999999,1.15953,1.14756,1.14783,85955
2021-11-11,1.14774,1.14876,1.14429,1.14495,53727
2021-11-12,1.14484,1.14623,1.14328,1.1442700000000001,57609
2021-11-15,1.14456,1.14641,1.13562,1.13672,64282
2021-11-16,1.13666,1.13855,1.1308799999999999,1.13194,75709
2021-11-17,1.13184,1.13324,1.12632,1.13187,76999
2021-11-18,1.13177,1.13741,1.13138,1.13704,69758
2021-11-19,1.13686,1.13724,1.12498,1.12829,90206
2021-11-22,1.12884,1.12901,1.12307,1.12364,81667
2021-11-23,1.12362,1.1275,1.1226,1.12474,81541
2021-11-24,1.12461,1.12554,1.1186099999999999,1.11982,86483
2021-11-25,1.1196,1.12299,1.11954,1.12083,48236
2021-11-26,1.1206,1.13303,1.12044,1.13215,113571
2021-11-29,1.13002,1.13112,1.12584,1.12902,75004
2021-11-30,1.12883,1.1383,1.12354,1.1338,108745
2021-12-01,1.1335,1.13597,1.13025,1.13193,89859
2021-12-02,1.1317599999999999,1.1347800000000001,1.12952,1.13006,75866
2021-12-03,1.12996,1.13335,1.12666,1.13083,86551
2021-12-06,1.12995,1.13104,1.12665,1.12847,57613
2021-12-07,1.12821,1.1298300000000001,1.12274,1.12671,59940
2021-12-08,1.12658,1.1354899999999999,1.12633,1.1341700000000001,71543
2021-12-09,1.13418,1.13449,1.12784,1.12924,61604
2021-12-10,1.12919,1.13243,1.12649,1.13162,59302
2021-12-13,1.13077,1.1319,1.12599,1.12842,54396
2021-12-14,1.12807,1.1323699999999999,1.12537,1.12583,54577
2021-12-15,1.12575,1.12992,1.1221700000000001,1.12919,71257
2021-12-16,1.1290499999999999,1.13602,1.12811,1.13296,72728
2021-12-17,1.13296,1.13489,1.12344,1.12372,63293
2021-12-20,1.12356,1.1304,1.12341,1.12769,60766
2021-12-21,1.12743,1.1302699999999999,1.12609,1.12822,54441
2021-12-22,1.1282,1.13423,1.12642,1.13258,52866
